,Name,Party
45,Amy Klobuchar,Democratic
38,"Angus S. King, Jr.",Independent
39,Benjamin L. Cardin,Democratic
54,Ben Sasse,Republican
90,Bernard Sanders,Independent
35,Bill Cassidy,Republican
75,"Robert P. Casey, Jr.",Democratic
59,Robert Menendez,Democratic
21,Brian Schatz,Democratic
55,Catherine Cortez Masto,Democratic
16,Christopher A. Coons,Democratic
14,Christopher Murphy,Democratic
40,Chris Van Hollen,Democratic
29,Chuck Grassley,Republican
63,Charles E. Schumer,Democratic
48,Cindy Hyde-Smith,Republican
60,Cory A. Booker,Democratic
12,Cory Gardner,Republican
4,Dan Sullivan,Republican
20,David Perdue,Republican
53,Deb Fischer,Republican
43,Debbie Stabenow,Democratic
9,Dianne Feinstein,Democratic
25,Richard J. Durbin,Democratic
2,Doug Jones,Democratic
42,Edward J. Markey,Democratic
41,Elizabeth Warren,Democratic
44,Gary C. Peters,Democratic
77,Jack Reed,Democratic
56,Jacky Rosen,Democratic
72,James Lankford,Republican
57,Jeanne Shaheen,Democratic
74,Jeff Merkley,Democratic
32,Jerry Moran,Republican
71,James M. Inhofe,Republican
24,James E. Risch,Republican
95,"Joe Manchin, III",Democratic
100,John Barrasso,Republican
7,John Boozman,Republican
85,John Cornyn,Republican
67,John Hoeven,Republican
36,John Kennedy,Republican
81,John Thune,Republican
19,Johnny Isakson,Republican
51,Jon Tester,Democratic
30,Joni Ernst,Republican
50,Josh Hawley,Republican
10,Kamala D. Harris,Democratic
68,Kevin Cramer,Republican
64,Kirsten E. Gillibrand,Democratic
5,Kyrsten Sinema,Democratic
83,Lamar Alexander,Republican
79,Lindsey Graham,Republican
3,Lisa Murkowski,Republican
58,Margaret Wood Hassan,Democratic
17,Marco Rubio,Republican
94,Maria Cantwell,Democratic
91,Mark R. Warner,Democratic
84,Marsha Blackburn,Republican
6,Martha McSally,Republican
62,Martin Heinrich,Democratic
22,Mazie K. Hirono,Democratic
11,Michael F. Bennet,Democratic
28,Mike Braun,Republican
23,Mike Crapo,Republican
99,Michael B. Enzi,Republican
87,Mike Lee,Republican
82,Mike Rounds,Republican
33,Mitch McConnell,Republican
88,Mitt Romney,Republican
31,Pat Roberts,Republican
76,Patrick J. Toomey,Republican
89,Patrick J. Leahy,Democratic
93,Patty Murray,Democratic
34,Rand Paul,Republican
13,Richard Blumenthal,Democratic
65,Richard Burr,Republican
1,Richard C. Shelby,Republican
18,Rick Scott,Republican
70,Rob Portman,Republican
47,Roger F. Wicker,Republican
97,Ron Johnson,Republican
73,Ron Wyden,Democratic
49,Roy Blunt,Republican
78,Sheldon Whitehouse,Democratic
96,Shelley Moore Capito,Republican
69,Sherrod Brown,Democratic
52,Steve Daines,Republican
37,Susan M. Collins,Republican
98,Tammy Baldwin,Democratic
26,Tammy Duckworth,Democratic
86,Ted Cruz,Republican
66,Thom Tillis,Republican
92,Tim Kaine,Democratic
80,Tim Scott,Republican
46,Tina Smith,Democratic
27,Todd Young,Republican
15,Thomas R. Carper,Democratic
8,Tom Cotton,Republican
61,Tom Udall,Democratic